,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8,Subject9,Subject10,Subject11,Subject12,Subject13,Subject14,Subject15,Subject16,Subject17,Subject18,Subject19,Subject20,Subject21,Subject22,Subject23,Subject24,Subject25,Subject26,Subject27,Subject28,Subject29,Subject30,Subject31,Subject32,Subject33,Subject34,Subject35,Subject36,Subject37,Subject38,Subject39,Subject40,Subject41,Subject42,Subject43,Subject44,Subject45,Subject46,Subject47,Subject48,Subject49,Subject50,Subject51,Subject52,Subject53,Subject54,Subject55,Subject56,Subject57,Subject58,Subject59,Subject60,Subject61,Subject62,Subject63,Subject64,Subject65,Subject66,Subject67,Subject68,Subject69,Subject70,Subject71,Subject72,Subject73,Subject74,Subject75,Subject76,Subject77,Subject78,Subject79,Subject80,Subject81,Subject82,Subject83,Subject84,Subject85
catchtrack_crf_16_30fps,3.0,21.0,21.0,4.0,12.0,17.0,27.0,18.0,31.0,19.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,30.0,31.0,24.0,7.0,10.0,13.0,12.0,21.0,18.0,21.0,-1.0,13.0,12.0,19.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,28.0,30.0,34.0,19.0,15.0,15.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,29.0,27.0,15.0,20.0,20.0,23.0,-1.0,-1.0
catchtrack_crf_16_60fps,19.0,11.0,19.0,19.0,16.0,17.0,26.0,26.0,32.0,20.0,35.0,39.0,34.0,24.0,22.0,32.0,26.0,32.0,15.0,31.0,14.0,16.0,38.0,30.0,25.0,21.0,17.0,27.0,15.0,17.0,26.0,22.0,26.0,30.0,29.0,30.0,27.0,32.0,29.0,34.0,22.0,34.0,29.0,28.0,31.0,31.0,29.0,21.0,21.0,32.0,17.0,27.0,29.0,15.0,26.0,21.0,28.0,22.0,24.0,15.0,15.0,20.0,1.0,14.0,18.0,31.0,39.0,18.0,24.0,30.0,20.0,27.0,31.0,31.0,23.0,32.0,25.0,21.0,37.0,24.0,24.0,15.0,23.0,23.0,30.0
catchtrack_crf_20_82fps,26.0,-1.0,-1.0,20.0,25.0,-1.0,28.0,25.0,33.0,-1.0,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,31.0,-1.0,33.0,-1.0,-1.0,-1.0,-1.0,29.0,34.0,25.0,33.0,-1.0,-1.0,33.0,-1.0,-1.0,-1.0,20.0,-1.0,30.0,33.0,30.0,30.0,27.0,29.0,-1.0,22.0,13.0,22.0,-1.0,-1.0,-1.0,22.0,30.0,20.0,35.0,22.0,25.0,26.0,12.0,13.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,25.0,29.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,15.0,-1.0,-1.0,34.0
catchtrack_crf_20_98fps,-1.0,33.0,29.0,-1.0,-1.0,25.0,-1.0,-1.0,-1.0,11.0,-1.0,39.0,33.0,30.0,18.0,30.0,22.0,27.0,9.0,-1.0,25.0,-1.0,30.0,-1.0,22.0,22.0,15.0,31.0,-1.0,-1.0,-1.0,-1.0,33.0,38.0,-1.0,30.0,19.0,24.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,-1.0,-1.0,-1.0,15.0,24.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.0,30.0,31.0,39.0,26.0,21.0,34.0,21.0,-1.0,-1.0,-1.0,-1.0,31.0,26.0,33.0,31.0,23.0,-1.0,-1.0,20.0,29.0,-1.0
catchtrack_crf_24_120fps,23.0,33.0,32.0,13.0,36.0,25.0,24.0,33.0,32.0,24.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,36.0,34.0,30.0,18.0,31.0,27.0,35.0,29.0,33.0,39.0,-1.0,35.0,29.0,34.0,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,29.0,33.0,36.0,32.0,30.0,32.0,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,33.0,30.0,38.0,39.0,19.0,31.0,-1.0,-1.0
catchtrack_crf_32_24fps,3.0,-1.0,-1.0,17.0,1.0,-1.0,14.0,12.0,23.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,11.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,8.0,17.0,3.0,8.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0,23.0,-1.0,11.0,29.0,24.0,8.0,0.0,28.0,-1.0,16.0,12.0,6.0,-1.0,-1.0,-1.0,9.0,13.0,1.0,10.0,13.0,4.0,14.0,3.0,11.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,16.0,11.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,19.0,-1.0,-1.0,24.0
catchtrack_crf_32_30fps,-1.0,11.0,8.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,20.0,-1.0,33.0,25.0,19.0,6.0,16.0,10.0,12.0,17.0,-1.0,9.0,-1.0,31.0,-1.0,17.0,10.0,4.0,12.0,-1.0,-1.0,-1.0,-1.0,11.0,9.0,-1.0,27.0,20.0,28.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,-1.0,-1.0,-1.0,11.0,23.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,6.0,18.0,24.0,18.0,18.0,30.0,4.0,-1.0,-1.0,-1.0,-1.0,14.0,17.0,15.0,27.0,15.0,-1.0,-1.0,16.0,19.0,-1.0
catchtrack_crf_32_60fps,19.0,25.0,19.0,13.0,15.0,33.0,24.0,28.0,29.0,24.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,35.0,30.0,25.0,10.0,13.0,25.0,30.0,20.0,33.0,23.0,-1.0,38.0,26.0,26.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,26.0,31.0,31.0,21.0,16.0,32.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,28.0,28.0,22.0,23.0,19.0,22.0,-1.0,-1.0
catchtrack_crf_36_82fps,-1.0,35.0,24.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0,21.0,-1.0,39.0,33.0,24.0,24.0,36.0,19.0,29.0,14.0,-1.0,23.0,-1.0,33.0,-1.0,22.0,18.0,19.0,35.0,-1.0,-1.0,-1.0,-1.0,26.0,35.0,-1.0,33.0,21.0,29.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0,22.0,22.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,20.0,22.0,33.0,31.0,7.0,30.0,1.0,-1.0,-1.0,-1.0,-1.0,29.0,20.0,33.0,27.0,23.0,-1.0,-1.0,15.0,30.0,-1.0
catchtrack_crf_36_98fps,15.0,23.0,26.0,21.0,15.0,29.0,23.0,25.0,28.0,29.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,27.0,27.0,27.0,16.0,18.0,22.0,13.0,21.0,26.0,27.0,-1.0,32.0,33.0,29.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,34.0,17.0,25.0,18.0,16.0,30.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,23.0,31.0,28.0,26.0,19.0,22.0,-1.0,-1.0
catchtrack_crf_36_120fps,32.0,-1.0,-1.0,25.0,33.0,-1.0,27.0,35.0,29.0,-1.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,35.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,32.0,24.0,35.0,31.0,-1.0,-1.0,28.0,-1.0,-1.0,-1.0,30.0,-1.0,29.0,36.0,29.0,39.0,34.0,31.0,-1.0,21.0,18.0,31.0,-1.0,-1.0,-1.0,25.0,29.0,30.0,33.0,32.0,34.0,31.0,23.0,30.0,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,29.0,39.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,26.0,-1.0,-1.0,35.0
catchtrack_crf_48_60fps,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.0,34.0,20.0,17.0,29.0,11.0,16.0,20.0,26.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,-1.0,28.0,9.0,24.0,18.0,17.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,19.0,14.0,16.0,24.0,29.0,15.0,33.0,16.0,22.0,-1.0,25.0,19.0,13.0,22.0,19.0,13.0,17.0,21.0,28.0,22.0,15.0,20.0,16.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,30.0
catchtrack_crf_52_82fps,-1.0,13.0,17.0,-1.0,-1.0,18.0,-1.0,-1.0,-1.0,13.0,-1.0,26.0,16.0,26.0,18.0,20.0,25.0,29.0,21.0,-1.0,15.0,-1.0,18.0,-1.0,20.0,9.0,14.0,13.0,-1.0,-1.0,-1.0,-1.0,20.0,28.0,-1.0,29.0,20.0,19.0,-1.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,18.0,21.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,11.0,8.0,19.0,19.0,16.0,26.0,16.0,-1.0,-1.0,-1.0,-1.0,22.0,27.0,18.0,24.0,24.0,-1.0,-1.0,20.0,24.0,-1.0
catchtrack_crf_52_98fps,-1.0,14.0,12.0,-1.0,-1.0,14.0,-1.0,-1.0,-1.0,12.0,-1.0,38.0,12.0,17.0,7.0,21.0,17.0,21.0,11.0,-1.0,13.0,-1.0,29.0,-1.0,19.0,15.0,19.0,21.0,-1.0,-1.0,-1.0,-1.0,22.0,24.0,-1.0,30.0,19.0,29.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0,28.0,22.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,16.0,11.0,19.0,19.0,19.0,27.0,19.0,-1.0,-1.0,-1.0,-1.0,24.0,28.0,23.0,20.0,24.0,-1.0,-1.0,15.0,25.0,-1.0
catchtrack_crf_52_120fps,19.0,-1.0,-1.0,17.0,25.0,-1.0,27.0,28.0,31.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,21.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,29.0,19.0,31.0,18.0,-1.0,-1.0,29.0,-1.0,-1.0,-1.0,16.0,-1.0,19.0,22.0,26.0,20.0,35.0,19.0,-1.0,17.0,11.0,24.0,-1.0,-1.0,-1.0,19.0,22.0,22.0,26.0,25.0,26.0,18.0,18.0,27.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,21.0,21.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,11.0,-1.0,-1.0,29.0
catchtrack_crf_63_24fps,-1.0,4.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,4.0,-1.0,0.0,3.0,0.0,4.0,9.0,0.0,0.0,0.0,-1.0,5.0,-1.0,0.0,-1.0,9.0,4.0,0.0,10.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,11.0,0.0,9.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,4.0,12.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,10.0,-1.0,-1.0,-1.0,-1.0,7.0,2.0,11.0,11.0,22.0,-1.0,-1.0,8.0,10.0,-1.0
catchtrack_crf_63_30fps,2.0,-1.0,-1.0,0.0,12.0,-1.0,27.0,4.0,20.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,8.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,4.0,9.0,12.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,3.0,-1.0,4.0,0.0,12.0,0.0,0.0,0.0,-1.0,10.0,2.0,7.0,-1.0,-1.0,-1.0,8.0,4.0,10.0,3.0,3.0,6.0,11.0,3.0,16.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,8.0,0.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,3.0,-1.0,-1.0,11.0
catchtrack_crf_63_60fps,0.0,3.0,21.0,18.0,2.0,11.0,22.0,6.0,24.0,5.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,13.0,13.0,21.0,10.0,10.0,7.0,21.0,6.0,18.0,6.0,-1.0,14.0,9.0,24.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,29.0,5.0,19.0,10.0,2.0,16.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,16.0,10.0,22.0,22.0,11.0,7.0,-1.0,-1.0
catchtrack_crf_63_82fps,1.0,8.0,16.0,10.0,9.0,13.0,16.0,11.0,23.0,1.0,4.0,2.0,14.0,14.0,8.0,15.0,6.0,10.0,10.0,14.0,4.0,5.0,1.0,15.0,19.0,0.0,9.0,11.0,27.0,4.0,24.0,3.0,17.0,30.0,0.0,24.0,3.0,13.0,4.0,11.0,18.0,14.0,25.0,20.0,27.0,9.0,10.0,14.0,3.0,28.0,8.0,10.0,10.0,9.0,20.0,20.0,22.0,10.0,24.0,7.0,11.0,17.0,10.0,14.0,7.0,2.0,6.0,10.0,1.0,15.0,22.0,20.0,12.0,12.0,16.0,20.0,15.0,21.0,20.0,14.0,16.0,5.0,8.0,9.0,20.0
catchtrack_crf_63_98fps,-1.0,9.0,9.0,-1.0,-1.0,14.0,-1.0,-1.0,-1.0,12.0,-1.0,23.0,13.0,13.0,15.0,14.0,9.0,13.0,4.0,-1.0,6.0,-1.0,21.0,-1.0,18.0,5.0,5.0,15.0,-1.0,-1.0,-1.0,-1.0,15.0,18.0,-1.0,23.0,0.0,20.0,-1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,24.0,16.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,9.0,9.0,6.0,7.0,1.0,17.0,4.0,-1.0,-1.0,-1.0,-1.0,21.0,24.0,20.0,15.0,22.0,-1.0,-1.0,13.0,11.0,-1.0
catchtrack_crf_63_120fps,8.0,-1.0,-1.0,21.0,10.0,-1.0,13.0,7.0,22.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,10.0,-1.0,14.0,-1.0,-1.0,-1.0,-1.0,17.0,9.0,24.0,23.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,5.0,-1.0,20.0,2.0,22.0,20.0,28.0,1.0,-1.0,18.0,10.0,10.0,-1.0,-1.0,-1.0,16.0,13.0,16.0,5.0,14.0,10.0,17.0,9.0,21.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,17.0,20.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,6.0,-1.0,-1.0,20.0
cyclist_crf_0_24fps,6.0,11.0,14.0,16.0,28.0,11.0,22.0,15.0,20.0,16.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,10.0,29.0,18.0,3.0,17.0,3.0,9.0,20.0,24.0,13.0,-1.0,5.0,10.0,20.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,0.0,32.0,29.0,17.0,20.0,9.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,10.0,39.0,15.0,21.0,9.0,14.0,-1.0,-1.0
cyclist_crf_0_30fps,3.0,11.0,19.0,22.0,11.0,6.0,28.0,16.0,31.0,36.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,30.0,31.0,33.0,17.0,19.0,14.0,22.0,17.0,21.0,15.0,-1.0,19.0,16.0,24.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,6.0,33.0,20.0,20.0,17.0,18.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,15.0,39.0,13.0,27.0,17.0,26.0,-1.0,-1.0
cyclist_crf_0_60fps,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,31.0,22.0,11.0,34.0,25.0,32.0,26.0,38.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.0,-1.0,-1.0,-1.0,-1.0,27.0,31.0,7.0,30.0,35.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,20.0,25.0,18.0,25.0,29.0,29.0,24.0,26.0,34.0,-1.0,26.0,26.0,24.0,29.0,37.0,19.0,31.0,29.0,19.0,30.0,29.0,29.0,32.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.0,39.0
cyclist_crf_0_82fps,39.0,-1.0,-1.0,36.0,39.0,-1.0,33.0,26.0,27.0,-1.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,-1.0,38.0,-1.0,39.0,-1.0,-1.0,-1.0,-1.0,30.0,25.0,28.0,33.0,-1.0,-1.0,31.0,-1.0,-1.0,-1.0,30.0,-1.0,27.0,28.0,31.0,39.0,32.0,38.0,-1.0,24.0,30.0,30.0,-1.0,-1.0,-1.0,25.0,29.0,29.0,35.0,32.0,33.0,33.0,24.0,31.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,35.0,30.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,19.0,-1.0,-1.0,35.0
cyclist_crf_0_98fps,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.0,28.0,33.0,21.0,33.0,30.0,30.0,29.0,34.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.0,-1.0,-1.0,-1.0,-1.0,29.0,30.0,20.0,24.0,35.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,22.0,25.0,30.0,31.0,30.0,36.0,36.0,29.0,31.0,-1.0,28.0,27.0,33.0,33.0,39.0,30.0,31.0,35.0,27.0,30.0,30.0,30.0,31.0,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,38.0
cyclist_crf_0_120fps,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.0,38.0,39.0,26.0,29.0,32.0,32.0,37.0,30.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.0,-1.0,-1.0,-1.0,-1.0,34.0,30.0,27.0,24.0,37.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,29.0,26.0,29.0,15.0,36.0,33.0,39.0,27.0,37.0,-1.0,27.0,39.0,24.0,33.0,39.0,32.0,39.0,34.0,24.0,24.0,29.0,35.0,36.0,39.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,37.0
cyclist_crf_16_24fps,-1.0,12.0,9.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0,11.0,-1.0,17.0,25.0,9.0,9.0,11.0,12.0,27.0,9.0,-1.0,13.0,-1.0,25.0,-1.0,19.0,3.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,19.0,20.0,-1.0,27.0,26.0,29.0,-1.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,13.0,19.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,15.0,28.0,34.0,11.0,29.0,29.0,4.0,-1.0,-1.0,-1.0,-1.0,20.0,32.0,13.0,39.0,8.0,-1.0,-1.0,18.0,26.0,-1.0
cyclist_crf_20_30fps,20.0,-1.0,-1.0,19.0,12.0,-1.0,27.0,14.0,33.0,-1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,-1.0,23.0,-1.0,24.0,-1.0,-1.0,-1.0,-1.0,19.0,17.0,23.0,14.0,-1.0,-1.0,28.0,-1.0,-1.0,-1.0,15.0,-1.0,15.0,27.0,30.0,27.0,19.0,29.0,-1.0,21.0,26.0,7.0,-1.0,-1.0,-1.0,13.0,25.0,8.0,13.0,23.0,13.0,24.0,24.0,16.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,28.0,24.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,23.0,-1.0,-1.0,33.0
cyclist_crf_24_60fps,20.0,-1.0,-1.0,26.0,39.0,-1.0,25.0,23.0,29.0,-1.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,-1.0,24.0,-1.0,34.0,-1.0,-1.0,-1.0,-1.0,31.0,21.0,34.0,22.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.0,-1.0,32.0,37.0,29.0,31.0,19.0,34.0,-1.0,20.0,30.0,16.0,-1.0,-1.0,-1.0,22.0,14.0,20.0,31.0,28.0,17.0,29.0,33.0,32.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,33.0,30.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,19.0,-1.0,-1.0,38.0
cyclist_crf_28_82fps,-1.0,36.0,37.0,-1.0,-1.0,19.0,-1.0,-1.0,-1.0,32.0,-1.0,37.0,34.0,18.0,19.0,29.0,32.0,31.0,33.0,-1.0,27.0,-1.0,39.0,-1.0,25.0,17.0,25.0,32.0,-1.0,-1.0,-1.0,-1.0,39.0,35.0,-1.0,27.0,29.0,33.0,-1.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,-1.0,-1.0,-1.0,27.0,20.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,29.0,32.0,37.0,29.0,26.0,36.0,10.0,-1.0,-1.0,-1.0,-1.0,34.0,37.0,35.0,35.0,28.0,-1.0,-1.0,26.0,35.0,-1.0
cyclist_crf_28_98fps,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.0,28.0,30.0,18.0,29.0,34.0,38.0,31.0,32.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,-1.0,-1.0,-1.0,-1.0,34.0,39.0,14.0,26.0,31.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,19.0,24.0,22.0,33.0,31.0,21.0,33.0,30.0,31.0,-1.0,24.0,25.0,23.0,29.0,35.0,27.0,33.0,26.0,30.0,22.0,32.0,23.0,33.0,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,34.0
cyclist_crf_28_120fps,24.0,34.0,35.0,31.0,28.0,39.0,27.0,35.0,30.0,39.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,39.0,37.0,34.0,32.0,27.0,29.0,29.0,32.0,33.0,24.0,-1.0,39.0,27.0,25.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,37.0,33.0,20.0,33.0,36.0,29.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,36.0,38.0,30.0,30.0,26.0,34.0,-1.0,-1.0
cyclist_crf_32_24fps,-1.0,3.0,16.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,28.0,-1.0,18.0,26.0,21.0,11.0,11.0,14.0,29.0,24.0,-1.0,16.0,-1.0,27.0,-1.0,15.0,12.0,11.0,19.0,-1.0,-1.0,-1.0,-1.0,17.0,12.0,-1.0,19.0,3.0,29.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,-1.0,-1.0,-1.0,14.0,17.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,10.0,21.0,33.0,16.0,15.0,24.0,20.0,-1.0,-1.0,-1.0,-1.0,25.0,17.0,10.0,29.0,13.0,-1.0,-1.0,12.0,17.0,-1.0
